source_id,path,source_type,authority_status,owner,last_reviewed,notes
SRC-PRD-P0,PRDs/sys-for-ai_phase-0_product_system_design_prd.md,prd,canonical,product_system_design,2026-07-05,Canonical Phase 0 product and system-design baseline.
SRC-PRD-P1,PRDs/sys-for-ai_phase-1_implementation_initialization_prd.md,prd,canonical_draft,implementation_initialization,2026-07-04,Phase 1 initialization baseline.
SRC-SCHEMA-DISCOVERY-RECORD,sys-for-ai/schemas/discovery_record.schema.yaml,schema,controlled,system_definition,2026-07-05,Schema-like Markdown contract for requirements discovery records created by system-definition skills.
SRC-TEMPLATE-RDR,sys-for-ai/templates/system_definition/requirements-discovery-record-template.md,template,controlled,system_definition,2026-07-05,Controlled template for requirements discovery records produced by system-definition skills.
SRC-TEMPLATE-TEMP-PRD,sys-for-ai/templates/system_definition/temp-prd-template.md,template,controlled,system_definition,2026-07-05,Controlled resumable handoff template for context-45 system-definition interviews.
SRC-SYSDEF-CONTROL-README,sys-for-ai/control_records/system_definition/README.md,control_record_policy,controlled,system_definition,2026-07-05,Directory policy for system-definition discovery records and related handoff artifacts.
SRC-VALIDATOR-CORE,sys-for-ai/sys_for_ai/validators.py,validator_library,controlled,implementation_initialization,2026-07-06,Core Phase 1 validation helpers for AgentJob skill registry metrics and registry-header checks.
SRC-VALIDATOR-DISCOVERY,sys-for-ai/sys_for_ai/discovery.py,validator,controlled,system_definition,2026-07-06,Discovery-record validator enforcing required sections candidate IDs and authority-boundary markers.
SRC-CLI-PHASE1,sys-for-ai/sys_for_ai/cli.py,cli,controlled,implementation_initialization,2026-07-06,CLI surface exposing Phase 1 validation bootstrap metrics and discovery-record commands.
SRC-MAKE-PHASE1,sys-for-ai/Makefile,makefile,controlled,implementation_initialization,2026-07-06,Developer validation entry points for doctor skill metrics discovery template and full validation.
SRC-METRICS-SCRIPT,sys-for-ai/skills/core/codex-usage-metrics/scripts/collect_usage_metrics.py,script,controlled,runtime_session_accounting,2026-07-06,Operational local metrics helper used by codex-usage-metrics and context-45 adapters.
